Java HotSpot(TM) 64-Bit Server VM (25.161-b12) for windows-amd64 JRE (1.8.0_161-b12), built on Dec 19 2017 17:52:25 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 33469572k(19725088k free), swap 33469572k(16423768k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
2018-03-03T23:52:50.521+0300: 15.208: [GC (Allocation Failure) 2018-03-03T23:52:50.521+0300: 15.208: [DefNew: 139776K->2211K(157248K), 0.0042381 secs] 139776K->2211K(506816K), 0.0044409 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2018-03-03T23:52:50.581+0300: 15.269: [GC (Allocation Failure) 2018-03-03T23:52:50.582+0300: 15.270: [DefNew: 141987K->4307K(157248K), 0.0073672 secs] 141987K->4307K(506816K), 0.0075664 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2018-03-03T23:52:50.638+0300: 15.325: [GC (Allocation Failure) 2018-03-03T23:52:50.638+0300: 15.325: [DefNew: 144083K->6140K(157248K), 0.0115948 secs] 144083K->6140K(506816K), 0.0117063 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2018-03-03T23:52:50.697+0300: 15.385: [GC (Allocation Failure) 2018-03-03T23:52:50.698+0300: 15.385: [DefNew: 145916K->7526K(157248K), 0.0107349 secs] 145916K->7526K(506816K), 0.0108545 secs] [Times: user=0.00 sys=0.02, real=0.01 secs] 
2018-03-03T23:52:50.756+0300: 15.444: [GC (Allocation Failure) 2018-03-03T23:52:50.756+0300: 15.444: [DefNew: 147302K->9604K(157248K), 0.0137864 secs] 147302K->9604K(506816K), 0.0138727 secs] [Times: user=0.00 sys=0.01, real=0.01 secs] 
2018-03-03T23:52:50.822+0300: 15.509: [GC (Allocation Failure) 2018-03-03T23:52:50.822+0300: 15.509: [DefNew: 149380K->9217K(157248K), 0.0146178 secs] 149380K->10992K(506816K), 0.0147263 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2018-03-03T23:52:50.884+0300: 15.572: [GC (Allocation Failure) 2018-03-03T23:52:50.884+0300: 15.572: [DefNew: 148993K->10064K(157248K), 0.0160204 secs] 150768K->13408K(506816K), 0.0161523 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:52:50.947+0300: 15.635: [GC (Allocation Failure) 2018-03-03T23:52:50.947+0300: 15.635: [DefNew: 149840K->10077K(157248K), 0.0161547 secs] 153184K->14805K(506816K), 0.0162695 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:52:51.010+0300: 15.698: [GC (Allocation Failure) 2018-03-03T23:52:51.010+0300: 15.698: [DefNew: 149853K->10084K(157248K), 0.0158819 secs] 154581K->16200K(506816K), 0.0159946 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:52:51.078+0300: 15.765: [GC (Allocation Failure) 2018-03-03T23:52:51.078+0300: 15.765: [DefNew: 149860K->11650K(157248K), 0.0163750 secs] 155976K->19136K(506816K), 0.0164934 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:52:51.141+0300: 15.829: [GC (Allocation Failure) 2018-03-03T23:52:51.141+0300: 15.829: [DefNew: 151426K->8893K(157248K), 0.0162431 secs] 158912K->20527K(506816K), 0.0163509 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2018-03-03T23:53:06.205+0300: 30.893: [GC (Allocation Failure) 2018-03-03T23:53:06.205+0300: 30.893: [DefNew: 148669K->8892K(157248K), 0.0117279 secs] 160303K->21920K(506816K), 0.0118436 secs] [Times: user=0.00 sys=0.02, real=0.01 secs] 
2018-03-03T23:53:06.270+0300: 30.957: [GC (Allocation Failure) 2018-03-03T23:53:06.270+0300: 30.958: [DefNew: 148668K->4194K(157248K), 0.0134559 secs] 161696K->23319K(506816K), 0.0135458 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2018-03-03T23:53:06.351+0300: 31.039: [GC (Allocation Failure) 2018-03-03T23:53:06.351+0300: 31.039: [DefNew: 143970K->12660K(157248K), 0.0186216 secs] 163095K->31785K(506816K), 0.0187484 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:53:06.443+0300: 31.131: [GC (Allocation Failure) 2018-03-03T23:53:06.443+0300: 31.131: [DefNew: 152436K->9868K(157248K), 0.0195491 secs] 171561K->33183K(506816K), 0.0196381 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:53:06.532+0300: 31.219: [GC (Allocation Failure) 2018-03-03T23:53:06.532+0300: 31.219: [DefNew: 149644K->2797K(157248K), 0.0148889 secs] 172959K->34576K(506816K), 0.0150295 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2018-03-03T23:53:06.613+0300: 31.301: [GC (Allocation Failure) 2018-03-03T23:53:06.614+0300: 31.301: [DefNew: 142573K->4195K(157248K), 0.0081514 secs] 174352K->35975K(506816K), 0.0082722 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2018-03-03T23:53:06.683+0300: 31.371: [GC (Allocation Failure) 2018-03-03T23:53:06.683+0300: 31.371: [DefNew: 143971K->5596K(157248K), 0.0117504 secs] 175751K->37376K(506816K), 0.0118559 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2018-03-03T23:53:06.772+0300: 31.460: [GC (Allocation Failure) 2018-03-03T23:53:06.772+0300: 31.460: [DefNew: 145372K->6996K(157248K), 0.0141788 secs] 177152K->38775K(506816K), 0.0143132 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2018-03-03T23:53:06.863+0300: 31.551: [GC (Allocation Failure) 2018-03-03T23:53:06.863+0300: 31.551: [DefNew: 146772K->8396K(157248K), 0.0148786 secs] 178551K->40175K(506816K), 0.0149958 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:53:06.943+0300: 31.631: [GC (Allocation Failure) 2018-03-03T23:53:06.943+0300: 31.631: [DefNew: 148172K->9693K(157248K), 0.0347366 secs] 179951K->52155K(506816K), 0.0348229 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2018-03-03T23:53:07.050+0300: 31.738: [GC (Allocation Failure) 2018-03-03T23:53:07.050+0300: 31.738: [DefNew: 149469K->9694K(157248K), 0.0254047 secs] 191931K->53555K(506816K), 0.0255204 secs] [Times: user=0.02 sys=0.00, real=0.03 secs] 
2018-03-03T23:53:22.146+0300: 46.834: [GC (Allocation Failure) 2018-03-03T23:53:22.146+0300: 46.834: [DefNew: 149470K->9700K(157248K), 0.0261162 secs] 193331K->54958K(506816K), 0.0262316 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2018-03-03T23:53:22.245+0300: 46.933: [GC (Allocation Failure) 2018-03-03T23:53:22.245+0300: 46.933: [DefNew: 149476K->9703K(157248K), 0.0212946 secs] 194734K->56358K(506816K), 0.0214018 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2018-03-03T23:53:22.327+0300: 47.014: [GC (Allocation Failure) 2018-03-03T23:53:22.327+0300: 47.014: [DefNew: 149479K->9705K(157248K), 0.0292348 secs] 196134K->57758K(506816K), 0.0293387 secs] [Times: user=0.02 sys=0.00, real=0.03 secs] 
2018-03-03T23:53:22.419+0300: 47.106: [GC (Allocation Failure) 2018-03-03T23:53:22.419+0300: 47.107: [DefNew: 149481K->9692K(157248K), 0.0204343 secs] 197534K->59143K(506816K), 0.0205584 secs] [Times: user=0.02 sys=0.01, real=0.02 secs] 
2018-03-03T23:53:22.505+0300: 47.193: [GC (Allocation Failure) 2018-03-03T23:53:22.505+0300: 47.193: [DefNew: 149468K->9695K(157248K), 0.0205981 secs] 198919K->60543K(506816K), 0.0207056 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:53:22.588+0300: 47.276: [GC (Allocation Failure) 2018-03-03T23:53:22.588+0300: 47.276: [DefNew: 149471K->9789K(157248K), 0.0207318 secs] 200319K->61942K(506816K), 0.0208246 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2018-03-03T23:53:22.668+0300: 47.355: [GC (Allocation Failure) 2018-03-03T23:53:22.668+0300: 47.355: [DefNew: 149565K->9791K(157248K), 0.0243308 secs] 201718K->63342K(506816K), 0.0244215 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2018-03-03T23:53:22.760+0300: 47.448: [GC (Allocation Failure) 2018-03-03T23:53:22.760+0300: 47.448: [DefNew: 149567K->9793K(157248K), 0.0185975 secs] 203118K->64742K(506816K), 0.0186955 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:53:22.846+0300: 47.534: [GC (Allocation Failure) 2018-03-03T23:53:22.846+0300: 47.534: [DefNew: 138387K->9678K(157248K), 0.0186648 secs] 193335K->66024K(506816K), 0.0187445 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:53:22.922+0300: 47.610: [GC (Allocation Failure) 2018-03-03T23:53:22.922+0300: 47.610: [DefNew: 149454K->9527K(157248K), 0.0354145 secs] 205800K->83295K(506816K), 0.0355143 secs] [Times: user=0.02 sys=0.02, real=0.04 secs] 
2018-03-03T23:53:23.020+0300: 47.708: [GC (Allocation Failure) 2018-03-03T23:53:23.021+0300: 47.708: [DefNew: 149303K->9522K(157248K), 0.0244077 secs] 223071K->84688K(506816K), 0.0245393 secs] [Times: user=0.02 sys=0.00, real=0.03 secs] 
2018-03-03T23:53:23.114+0300: 47.802: [GC (Allocation Failure) 2018-03-03T23:53:23.114+0300: 47.802: [DefNew: 149298K->9525K(157248K), 0.0230445 secs] 224464K->86088K(506816K), 0.0231536 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:53:38.205+0300: 62.892: [GC (Allocation Failure) 2018-03-03T23:53:38.205+0300: 62.893: [DefNew: 149301K->9528K(157248K), 0.0214343 secs] 225864K->87488K(506816K), 0.0215851 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2018-03-03T23:53:38.295+0300: 62.983: [GC (Allocation Failure) 2018-03-03T23:53:38.295+0300: 62.983: [DefNew: 149304K->9643K(157248K), 0.0218916 secs] 227264K->89001K(506816K), 0.0220010 secs] [Times: user=0.02 sys=0.02, real=0.02 secs] 
